Match No.,Date,Day,Group,Team 1,Team 2,Start Time,End Time,Ground
1,Aug/30/2026,Sunday,G3,Whitby Thunderbolts,Gully Boys,13:30,15:35,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
2,Aug/30/2026,Sunday,G6,Mavericks,Durham Strikers,15:35,17:40,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
3,Aug/30/2026,Sunday,G2,DesiBoyz CC,YRICA team,17:40,19:45,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
4,Sep/5/2026,Saturday,G2,Super Challengers,YRICA team,7:00,9:05,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
5,Sep/5/2026,Saturday,G5,Royal challengers blaster,United Punjab,9:05,11:10,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
6,Sep/5/2026,Saturday,G4,Feral,Sunrisers Harmony,11:10,13:15,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
7,Sep/5/2026,Saturday,G1,NorthStars,Royals,13:15,15:20,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
8,Sep/5/2026,Saturday,G6,Mavericks,Fighters,15:20,17:25,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
9,Sep/5/2026,Saturday,G4,Deccan Avengers,Panjab XI,13:30,15:35,GTCC AJAX GROUND
10,Sep/5/2026,Saturday,G6,Durham Strikers,Garuda Reapers,15:35,17:40,GTCC AJAX GROUND
11,Sep/5/2026,Saturday,G3,Pappampati,Gully Boys,17:40,19:45,GTCC AJAX GROUND
12,Sep/6/2026,Sunday,G1,Feral,Durham Spartans Cricket Club,7:30,9:35,GTCC AJAX GROUND
13,Sep/6/2026,Sunday,G6,Trailblazers,Fighters,13:00,15:05,GTCC AJAX GROUND
14,Sep/6/2026,Sunday,G6,Mavericks,Garuda Reapers,15:05,17:10,GTCC AJAX GROUND
15,Sep/6/2026,Sunday,G1,Desi Cric Champs,Scarborough Strikers,17:10,20:00,GTCC AJAX GROUND
16,Sep/7/2026,Monday,G2,ThunderStrikers,YRICA team,7:00,9:05,GTCC AJAX GROUND
17,Sep/7/2026,Monday,G2,Toronto Sharks,Downtown Hunterz,9:05,11:10,GTCC AJAX GROUND
18,Sep/7/2026,Monday,G6,Trailblazers,Durham Strikers,11:10,13:15,GTCC AJAX GROUND
19,Sep/7/2026,Monday,G4,Deccan Avengers,Royals,13:15,15:20,GTCC AJAX GROUND
20,Sep/7/2026,Monday,G3,Pappampati,Golden City,15:20,17:25,GTCC AJAX GROUND
21,Sep/7/2026,Monday,G5,Lisa Challengers,United Punjab,17:25,19:30,GTCC AJAX GROUND
22,Sep/7/2026,Monday,G3,Red wings,Gully Boys,7:00,9:05,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
23,Sep/7/2026,Monday,G3,Golden City,Gully Boys,9:05,11:10,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
24,Sep/7/2026,Monday,G1,Maple Eagles,Scarborough Strikers,11:10,13:15,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
25,Sep/7/2026,Monday,G5,South Warriors,Lisa Challengers,13:15,15:20,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
26,Sep/7/2026,Monday,G6,Maple Marvels,Garuda Reapers,15:20,17:25,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
27,Sep/7/2026,Monday,G1,Durham Spartans Cricket Club,Sunrisers Harmony,17:25,19:30,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
28,Sep/12/2026,Saturday,G4,NorthStars,Deccan Avengers,7:00,9:05,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
29,Sep/12/2026,Saturday,G2,Toronto Sharks,Super Challengers,9:05,11:10,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
30,Sep/12/2026,Saturday,G4,Royal Punjab,Panjab XI,11:10,13:15,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
31,Sep/12/2026,Saturday,G3,Pappampati,Red wings,13:15,15:20,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
32,Sep/12/2026,Saturday,G6,Durham Strikers,Maple Marvels,15:20,17:25,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
33,Sep/12/2026,Saturday,G6,Fighters,Garuda Reapers,17:25,19:30,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
34,Sep/12/2026,Saturday,G1,Feral,Maple Eagles,7:00,9:05,GTCC AJAX GROUND
35,Sep/12/2026,Saturday,G2,DesiBoyz CC,Downtown Hunterz,9:05,11:10,GTCC AJAX GROUND
36,Sep/12/2026,Saturday,G5,Durham United,Royal challengers blaster,11:10,13:15,GTCC AJAX GROUND
37,Sep/12/2026,Saturday,G5,Invincible Trailblazers,South Warriors,13:15,15:20,GTCC AJAX GROUND
38,Sep/12/2026,Saturday,G3,Whitby Thunderbolts,Maratha Warriors,15:20,17:25,GTCC AJAX GROUND
39,Sep/12/2026,Saturday,G4,Panjab XI,Nizam Royal Knights,17:25,19:30,GTCC AJAX GROUND
40,Sep/13/2026,Sunday,G6,Durham Strikers,Fighters,7:00,9:05,GTCC AJAX GROUND
41,Sep/13/2026,Sunday,G2,YRICA team,Downtown Hunterz,9:05,11:10,GTCC AJAX GROUND
42,Sep/13/2026,Sunday,G4,Panjab XI,Royals,11:10,13:15,GTCC AJAX GROUND
43,Sep/13/2026,Sunday,G4,Royal Punjab,Nizam Royal Knights,13:15,15:20,GTCC AJAX GROUND
44,Sep/13/2026,Sunday,G1,Durham Spartans Cricket Club,Scarborough Strikers,15:20,17:25,GTCC AJAX GROUND
45,Sep/13/2026,Sunday,G5,Invincible Trailblazers,Lisa Challengers,17:25,19:30,GTCC AJAX GROUND
46,Sep/13/2026,Sunday,G6,Mavericks,Trailblazers,13:00,15:05,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
47,Sep/13/2026,Sunday,G5,Royal challengers blaster,South Warriors,15:05,17:10,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
48,Sep/13/2026,Sunday,G2,DesiBoyz CC,Super Challengers,17:10,19:15,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
49,Sep/19/2026,Saturday,G2,Super Challengers,Downtown Hunterz,7:00,9:05,GTCC AJAX GROUND
50,Sep/19/2026,Saturday,G1,Desi Cric Champs,Durham Spartans Cricket Club,9:05,11:10,GTCC AJAX GROUND
51,Sep/19/2026,Saturday,G1,Desi Cric Champs,Feral,11:10,13:15,GTCC AJAX GROUND
52,Sep/19/2026,Saturday,G5,Durham United,Lisa Challengers,13:15,15:20,GTCC AJAX GROUND
53,Sep/19/2026,Saturday,G4,Deccan Avengers,Nizam Royal Knights,15:20,17:25,GTCC AJAX GROUND
54,Sep/19/2026,Saturday,G3,Pappampati,Maratha Warriors,17:25,19:30,GTCC AJAX GROUND
55,Sep/19/2026,Saturday,G2,ThunderStrikers,Toronto Sharks,7:30,9:35,Brooklin Memorial - Whitby
56,Sep/19/2026,Saturday,G6,Trailblazers,Maple Marvels,9:35,11:10,Brooklin Memorial - Whitby
57,Sep/19/2026,Saturday,G1,Maple Eagles,Sunrisers Harmony,7:00,9:05,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
58,Sep/19/2026,Saturday,G4,Royal Punjab,Royals,9:05,11:10,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
59,Sep/19/2026,Saturday,G5,South Warriors,United Punjab,11:10,13:15,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
60,Sep/19/2026,Saturday,G3,Golden City,Red wings,13:15,15:20,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
61,Sep/19/2026,Saturday,G3,Golden City,Whitby Thunderbolts,15:20,17:25,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
62,Sep/19/2026,Saturday,G5,Royal challengers blaster,Lisa Challengers,17:25,19:30,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
63,Sep/20/2026,Sunday,G2,ThunderStrikers,Downtown Hunterz,7:00,9:05,GTCC AJAX GROUND
64,Sep/20/2026,Sunday,G4,NorthStars,Nizam Royal Knights,9:05,11:10,GTCC AJAX GROUND
65,Sep/20/2026,Sunday,G4,Royal Punjab,Deccan Avengers,11:10,13:15,GTCC AJAX GROUND
66,Sep/20/2026,Sunday,G5,Durham United,Invincible Trailblazers,13:15,15:20,GTCC AJAX GROUND
67,Sep/20/2026,Sunday,G3,Golden City,Maratha Warriors,15:20,17:25,GTCC AJAX GROUND
68,Sep/20/2026,Sunday,G1,Feral,Scarborough Strikers,17:25,19:30,GTCC AJAX GROUND
69,Sep/20/2026,Sunday,G3,Pappampati,Whitby Thunderbolts,13:00,15:05,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
70,Sep/20/2026,Sunday,G2,Toronto Sharks,DesiBoyz CC,15:05,17:10,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
71,Sep/20/2026,Sunday,G6,Mavericks,Maple Marvels,17:10,19:15,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
72,Sep/26/2026,Saturday,G1,Desi Cric Champs,Maple Eagles,7:30,9:35,GTCC - Ajax Ground
73,Sep/26/2026,Saturday,G1,Desi Cric Champs,Sunrisers Harmony,9:35,11:40,GTCC - Ajax Ground
74,Sep/26/2026,Saturday,G5,Durham United,United Punjab,11:40,13:45,GTCC - Ajax Ground
75,Sep/26/2026,Saturday,G5,Royal challengers blaster,Invincible Trailblazers,13:45,15:50,GTCC - Ajax Ground
76,Sep/26/2026,Saturday,G6,Fighters,Maple Marvels,15:50,17:55,GTCC - Ajax Ground
77,Sep/26/2026,Saturday,G4,Royal Punjab,NorthStars,7:30,9:35,Brooklin Memorial - Whitby
78,Sep/26/2026,Saturday,G4,Nizam Royal Knights,Royals,9:35,11:10,Brooklin Memorial - Whitby
79,Sep/26/2026,Saturday,G2,ThunderStrikers,Super Challengers,7:30,9:35,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
80,Sep/26/2026,Saturday,G3,Maratha Warriors,Gully Boys,9:35,11:40,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
81,Sep/26/2026,Saturday,G3,Whitby Thunderbolts,Red wings,11:40,13:45,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
82,Sep/26/2026,Saturday,G6,Trailblazers,Garuda Reapers,13:45,15:50,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
83,Sep/26/2026,Saturday,G2,Toronto Sharks,YRICA team,15:50,17:55,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
84,Sep/27/2026,Sunday,G1,Durham Spartans Cricket Club,Maple Eagles,7:30,9:35,GTCC - Ajax Ground
85,Sep/27/2026,Sunday,G5,Durham United,South Warriors,9:35,11:40,GTCC - Ajax Ground
86,Sep/27/2026,Sunday,G4,NorthStars,Panjab XI,11:40,13:45,GTCC - Ajax Ground
87,Sep/27/2026,Sunday,G3,Red wings,Maratha Warriors,13:45,15:50,GTCC - Ajax Ground
88,Sep/27/2026,Sunday,G5,Invincible Trailblazers,United Punjab,15:50,17:55,GTCC - Ajax Ground
89,Sep/27/2026,Sunday,G2,ThunderStrikers,DesiBoyz CC,13:00,15:05,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
90,Sep/27/2026,Sunday,G1,Scarborough Strikers,Sunrisers Harmony,15:05,17:10,STONE STREET PARK (SCHOOL SIDE PITCH)- Oshawa
91,Oct/3/2026,Sat,Eliminator,3rd Place #3 (by NRR),3rd Place #6 (by NRR),9:00,11:05,Brooklin Memorial - Whitby
92,Oct/3/2026,Sat,Eliminator,3rd Place #4 (by NRR),3rd Place #5 (by NRR),11:05,13:10,Brooklin Memorial - Whitby
93,Oct/3/2026,Sat,PQF,Seed 5 (GW #5),Seed 12 (RU #6),9:00,11:05,GTCC AJAX GROUND
94,Oct/3/2026,Sat,PQF,Seed 6 (GW #6),Seed 11 (RU #5),11:05,13:10,GTCC AJAX GROUND
